,S3KO_126_Proteins_norm,S3KO_127C_Proteins_norm,S3KO_129N_Proteins_norm,S3FL_127N_Proteins_norm,S3FL_130N_Proteins_norm,DFC_128N_Proteins_norm,DFC_129C_Proteins_norm,DKO_128C_Proteins_norm,DKO_130C_Proteins_norm,DKO_131_Proteins_norm
172,13916.626472745507,13960.324460485586,13934.541287333683,15157.469415402496,14938.545453244615,15211.425818590971,12513.59797812502,13422.957332658198,13513.29914812415,13917.969707916256
174,41269.14863266193,40370.24198939838,42537.10672486919,41806.683143363625,39910.60155826381,39368.0412492918,43543.685109931066,36723.49412945133,38503.2751571092,36167.63551720586
176,8836.932634535364,8901.357741513377,8492.157236709905,8605.654292747124,8388.719801136629,8238.781399149497,8551.119141738367,8488.398886369527,8768.430137531424,8756.476763796496
177,6909.883852571451,6937.037698746735,7126.77077638197,6978.022035657909,7095.09293308339,6343.502425532234,6803.26061329485,7293.088129741638,6860.106873557126,7178.963941979405
178,12525.254495538304,12096.170727977627,12771.0068720937,12139.839978872473,11839.708520005595,11390.268282269613,12352.873970997862,12368.542897287844,12547.365132973628,12684.132710118607
181,202.62516630128513,196.16691385253898,211.5418142426583,199.03738018793905,197.16548783096113,187.9302197014402,186.84918281749114,202.77200680199104,213.1998544078354,192.28012566585957
182,5790.429035139225,5404.152321243619,5666.337479289321,5613.756654524082,5666.433388745118,5181.2596258801,5225.637100639951,5663.658442562062,5506.781639564479,5518.828530396668
183,4393.337421122959,4366.512661096984,4394.147000943741,4182.377366611975,4278.965231393575,3882.988564417173,4535.7879913975385,4298.656640675488,4237.958172854675,4285.84526774011
185,5267.222913917026,5283.346827963773,5136.993011534403,5085.294647503137,5122.450251728533,4563.220137745729,4503.88397500151,4916.5342679062705,4738.683521134004,5127.248679015973
186,14573.728354022418,13682.83159151754,13268.777934737773,14188.590397806503,14071.748281041868,13890.769217029121,12451.716225568196,13175.344686953653,13145.062993412253,13931.43975125348
188,11426.709170047392,11495.551567031436,11495.985674669217,11404.179386976675,11086.607478310583,11307.67647101754,11544.799412318092,10891.21969109144,11022.342683521982,10991.745082094629
189,13281.277964250594,12251.627326696676,12121.901212539027,12592.642817737074,12118.46653937382,11466.631858574809,11479.787454379017,12131.041376041718,12136.329381845748,12669.808931640291
191,4369.239934894626,4410.820631986457,4268.3977495539975,4441.807661483085,4420.221066863652,3975.0581245014523,3916.6092882851945,4218.646873221911,4267.289364804092,4579.055858975024
192,24488.67188025879,25594.764474728254,26850.023706262178,25523.063495339644,24836.430746907008,26741.964783577223,28362.429791039314,24754.23074474431,24635.40779065775,24742.38270235693
193,4876.224791068178,4641.449300975252,4117.063152643398,4487.606421902597,5318.627936514249,6252.33550819388,5858.299765398918,6304.835617457897,5946.3504549696845,4734.151076273337
194,3552.644574729011,3593.774074772455,3866.000145106821,3621.078512497797,3651.3151764447134,3384.729768666957,3811.5066229503564,3661.1062821614773,3529.320565995127,3582.462370940727
195,59.44671699908134,57.46781694425249,44.74713620881758,58.37661705463914,52.64990231157429,42.60473760762717,34.31186669006764,56.82012331524627,62.35372438226352,65.45302748369173
196,8501.63064717146,8581.73443013974,8493.46372243863,8773.967137643149,8829.477519925082,8171.895571676505,8133.116330693051,8811.735061985493,8683.529306412534,9098.82455537424
198,2321.985015402603,2731.756820608668,2558.0990568427683,2646.5346587073573,2770.4912009994823,3158.3469679891414,2615.8885594448766,2814.5194158223244,2641.9023605867524,2630.168250783073
202,3859.067084434055,4105.7772939397,4353.101574299643,3870.043262535098,3834.058739815093,5203.464637429838,6329.034497883705,5720.478565877308,4862.09401243138,6984.2174703503915
203,7459.437808930467,7349.821359170031,7095.197371271125,7485.168896320087,7709.703987835012,6396.848611816361,6593.53685268398,7797.325510341929,7805.888164987299,8047.781737230322
204,10199.425134083709,11242.863587749378,10641.10851284042,10933.901968664795,11049.762424722934,10844.169420985409,10541.688979821098,10598.10698532401,10728.930998068801,11333.523716911646
205,4861.316229549481,5318.187283705923,5151.037733118193,5156.345135365691,5196.53548012193,4991.794913510588,5297.270646887636,5151.508008037792,5261.656678272925,5316.303583037708
206,2943.9251949844743,2634.9041406515503,2989.2393473218867,2788.9236769508275,2811.6825879862113,2498.2443278946976,3112.507682590592,2875.186162572839,2992.579706512602,2794.844273553637
208,17703.40109849456,18080.776402903637,17752.41920809915,18359.926134547946,18535.82780311441,17647.026739918525,16764.898457281754,18465.770752767985,17921.757344929687,18581.829924239715
209,7968.766778550357,8249.519323620167,8004.293690841993,7915.504418752476,8492.142779973812,8573.21053651445,7712.826061868397,7575.54019341704,7542.106969360572,7895.911741576132
210,4882.131956952945,4781.663200307111,5057.188508271475,4922.3585962831985,4749.060700625811,4474.3098272721845,4879.629013386427,4959.726353907996,4896.613034249402,5038.365364882321
211,30.754768415928513,77.53894905657792,65.75978167913824,71.14650203534144,70.03523590789152,75.73172638304915,49.84250108662457,68.57980067449454,85.69895879098299,78.63849244055136
213,2975.4300797032306,3032.445101687656,3075.140783985529,2946.6749628402554,2777.998504143347,2706.4840093794346,3183.6596587794693,2673.073576931179,2958.459748530628,2836.20299816652
218,4419.685256259776,4316.902881725009,4087.8849713685486,4049.301723128867,3915.6512713523543,3549.552334072735,4092.3823597501028,3970.924323990644,3901.4475931084753,4355.56697092926
219,4034.4067702199886,3967.2675473343593,3943.3005507230264,3986.220411607653,4109.458228829481,4089.3326961354687,3913.117905358837,4004.3349961141157,3885.8841035026626,3964.7459952295353
220,1594.5597307356109,1580.1282780882605,1798.5953532108672,1551.0129472050012,1612.2921304493727,1733.4351292730344,2044.7464696986276,1843.4118537072063,1666.390813371116,1638.602314135204
222,4981.99118976686,5030.090797772875,4880.8129348936545,4802.14885195358,4745.109488444829,4297.843170443983,4815.339410535563,4378.996118709231,4604.2987743453505,4557.238183147127
223,1013.1258315064257,985.757677139303,990.5339299947015,1018.710373272568,1113.7479335140715,810.2121287416558,1034.292093804811,939.5652499459195,892.2069714409322,936.0731524769128
224,7057.187941539207,6922.5524005713305,7098.463585592937,6833.0406347491835,6986.237037497358,6670.259099556833,7359.594423732754,7216.815082196608,6802.541915207421,6924.456010473978
225,5340.265488904855,5793.551219253026,5326.651189820925,5537.617415503803,5645.393183881393,5055.250698549067,4840.260661078875,5298.8886373719215,5348.951892408094,5869.1445166246
226,4523.10754151212,4946.77666447643,4919.572011512485,4987.648233778518,4936.842059526942,4583.258806705248,4887.454526842056,4714.971199898221,4925.844460239806,4713.661432887138
228,12393.984142543486,11438.367775541605,12655.600632723028,12119.196931723218,12156.398176311239,12693.052557462162,12475.313158449788,12685.944282460825,12333.865980688759,11954.663461785869
