,S3KO_126_Acetyl_norm,S3KO_127C_Acetyl_norm,S3KO_129N_Acetyl_norm,S3FL_127N_Acetyl_norm,S3FL_130N_Acetyl_norm,DFC_128N_Acetyl_norm,DFC_129C_Acetyl_norm,DKO_128C_Acetyl_norm,DKO_130C_Acetyl_norm,DKO_131_Acetyl_norm
17646,19.409259335662203,19.88178180937895,17.202062094873913,0.2880425183617063,5.136575835275541,3.5203067091047875,0.6019625735099586,17.694467802233365,32.024872842730545,27.224665054810902
17946,9.001395633930297,10.13024120763594,14.48021682669766,7.969176341340542,9.384128929830315,9.83880593057492,8.30708351443743,17.144950168623634,14.466064056685136,13.280324416980928
17947,7.501163028275248,6.153884845760151,2.830719078903302,5.760850367234125,2.5682879176377704,5.3255922009533965,2.2874577793378426,8.352668030867923,9.378000147092434,7.399037889460803
17991,271.44833708571053,283.6467538138064,300.38284379593114,68.07404850614992,42.87065216364586,61.560235272037566,42.859735233909056,410.15996172630383,458.0255178223549,471.07207896233786
17992,12.095625383093838,17.13620241665519,17.63755733778211,0.6720992095106479,5.23535613980007,5.506120750138257,4.93609310278166,22.310415924555112,24.54242591685892,27.319524514932198
18021,44.53815548038428,49.041728463134746,61.513703060783286,42.15022185359635,52.25478109347617,46.8471585134714,56.58448190993611,90.23079543871796,96.57344832324974,96.94636824396079
18022,44.16309732897052,153.84712114400378,152.8588302607783,122.2260419581507,119.12904725658272,192.35316915646928,166.50284783285457,257.2841560560764,278.0477277653895,246.16029901475363
18023,188.37295654756218,164.45073810900587,207.62235705648447,161.20779610976828,130.48878227690363,129.25844121636038,183.95976246464338,293.4424163475968,313.06557937846867,332.10296988464455
18024,11.064215466705992,5.396483633974287,3.0484667003574017,4.992736984936243,5.729257662422718,2.6176639631804828,1.9262802352318678,11.100256198916583,11.971915081394595,16.031248760498407
18025,5.8134013469133174,2.2722036353575943,8.056661993801706,2.2083259741064145,4.741454617177422,1.3539641188864566,3.130205382251785,8.79228213775571,8.978936311045947,6.355583828126588
18026,44.069332791117084,61.16014785170858,57.267624442428335,35.71727227685158,31.60969744784948,32.946460226237114,45.387978042650886,88.69214606461072,86.59685242208757,87.27070331158896
18027,178.52768007295091,183.0070677977596,143.27793491679788,81.51603269636288,73.49254656625004,58.852307034264655,55.86212682172416,216.94956174912213,302.1910898462019,313.60537516099254
18028,8.157514793249332,6.721935754599549,8.818778668891055,2.6883968380425918,0.6914621316717073,2.166342590218331,2.8894203528478015,11.539870305804369,11.772383163371353,10.14996223297828
18029,32.91135278655765,42.88784361737459,38.432455186648674,0.6720992095106479,3.951212180981185,5.3255922009533965,4.695308073377677,59.897422063460766,64.84787335755406,71.80861131181831
18030,197.84317487075967,196.7349647613784,223.953428665542,2.2083259741064145,1.1853636542943555,2.5273996885880523,8.909046087947388,302.2346984853525,334.8145584430022,354.67952139351206
18450,12.939506223774803,15.810750296029926,20.359402605958362,9.985473969872485,9.186568320781255,9.83880593057492,11.678073926093196,24.948100565881823,26.737277015114596,28.078400195902535
18451,29.254535810273467,24.42618908009414,29.17818127484942,2.2083259741064145,3.6548712674075965,2.0760783156259,0.12039251470199173,50.11600818520754,45.89234114534595,54.35447064950051
18452,17.721497654300272,15.148024235717296,16.87544066269276,1.9202834557447086,0.6914621316717073,2.166342590218331,0.842747602913942,27.365978153764644,31.027213252614327,30.73446507929872
18506,57.290132628452206,60.11872118550302,67.1751412185899,53.3838800697029,35.75847023787973,40.348130742816416,73.92100402702292,98.25375288942006,103.35753353604001,107.00147101681777
18507,25.879012447549606,28.68657089638963,36.25497897210767,15.458281818744906,12.347538065566203,11.644091422423529,14.68788679364299,39.78507667334459,47.08953265348541,52.26756252683209
18508,5.063285044085792,9.846215753216242,10.887381072705008,1.8242692829574731,1.2841439588188852,4.06189235665937,1.685495205827884,9.012089191199602,10.076361860173785,8.632210871037604
18509,121.2375474444987,111.05395267810242,123.68064898592887,31.10859198306428,26.86824283067206,13.268848365087276,35.275006807683575,173.9772828008411,173.59276868022164,180.80213099118322
18849,49.13261783520287,43.26654422326753,41.04542664409788,36.38937148636223,28.053606484966412,31.68276038194309,39.72952985165727,69.45902888827011,74.52517138168136,61.75350853896131
18850,62.07212405897768,60.21339633697625,50.84406960953238,41.958193508021886,38.52431876456655,40.799452115778564,36.47893195470349,91.11002365249354,88.79170352034325,84.33006004782891
18851,13.220799837335123,15.148024235717296,12.95598347651896,12.001771598404428,8.29754558006049,12.00514852079325,14.928671823046974,22.530222977999006,22.54710673662649,26.845227214325735
19402,11.814331769533515,14.67464847835113,14.044721583789459,14.018069226936372,14.026803242483206,12.00514852079325,16.975344572980834,24.28867940555015,25.54008550697514,27.414383975053486
19403,47.63238522954782,50.556530886706476,45.182631451725776,30.43649277355363,28.251167094015475,22.566068648107613,21.309475102252534,60.6667467505144,81.70832043051811,87.46042223183154
19404,2.344113446336015,6.627260603126317,5.661438157806604,1.536226764595767,1.1853636542943555,1.805285491848609,6.741980823311536,10.770545618750745,9.77706398313892,12.331729815768005
19405,41.63145480692762,58.60391876193129,58.90073160333409,4.800708639361772,6.124378880520837,8.21404898791117,0.9631401176159339,78.03150397258192,79.61323529127405,82.33801138528176
19529,8.157514793249332,13.1598460547794,14.69796444815176,13.63401253578743,12.051197151992614,6.589292045247422,9.14983111735137,22.530222977999006,22.247808859591625,25.422335312506352
19531,151.33596409545314,142.86480357310876,193.68650928342208,122.32205613093794,94.0388499073522,112.74007896594564,135.4415790397407,265.52692056022244,296.3048982645162,292.83115339442946
19532,163.3378249406935,163.50398659427356,224.71554534063134,141.90894737953397,108.65833497698259,127.72394854828909,173.3652211708681,329.930387219283,357.76072901567517,333.5258617864639
19533,63.94741481604649,49.42042906902768,39.63006710464622,24.387599887957798,22.719470040641813,11.283034324053807,14.206316734835024,59.457807956572985,94.67789510202893,112.69303862409531
19534,13.87715160230921,10.13024120763594,15.568954933968161,1.9202834557447086,5.43291674884913,3.5203067091047875,1.5651026911258925,22.200512397833165,23.544766326742707,21.72281636777595
19978,402.5311610048205,410.4167816364655,383.88905662357854,210.65509509519453,181.65698002060998,149.56790299965724,158.5569418625231,576.8836117634964,677.0117978528644,728.0463564309188
19979,33.473940013678295,37.87006058929324,28.96043365339532,13.057927499064018,17.879235118939864,17.511269270931507,15.289849367152948,45.28025300944191,53.37478807121757,59.571740956171595
19980,5.157049581939233,8.426088481117747,8.383283425982855,2.1123118013191795,4.148772790030245,3.791099532882079,0.9631401176159339,11.75967735924826,11.572851245348108,8.44249195079502
19981,36.19311161142807,38.532786649605875,34.51299800047487,17.282551101702378,14.915825983203973,17.059947897969355,17.216129602384818,51.98436813948063,59.260979652903245,54.449330109621805
19982,161.6500632593316,158.01282780882605,123.68064898592887,59.81682964644767,79.91326636034448,73.47511951823839,61.03900495390981,218.59811464995133,248.6167698569611,269.87516404507676
19983,94.88971230768189,75.74012117858648,106.26083926960087,28.42019514502169,23.213371563264463,19.406819037372546,38.52560470463735,123.9711781423555,131.29200205929405,144.37609830460696
19984,40.693809428393216,41.089015739383164,27.436200303216616,12.289814116766136,7.704863752913311,11.283034324053807,9.02943860264938,46.049577696495525,66.84319253778649,65.45302748369173
19985,5.532107733352996,8.710113935537445,1.9597285930869013,1.4402125918085313,1.3829242633434147,5.957442123100409,1.805887720529876,9.121992717921549,10.37565973720865,10.244821693099574
19986,14.25220975372297,14.201272720984965,21.992509766864114,1.7282551101702377,4.9390152262264815,2.5273996885880523,2.2874577793378426,26.70655699343297,26.138681261044866,20.110205545713978
19987,9.845276474611262,9.562190298796542,13.282604908700108,1.3441984190212959,1.580484872392474,1.9858140410334701,0.842747602913942,15.826107847960277,13.568170425580542,15.462091999770653
19988,103.04722710093122,107.55097207359279,122.80965850011248,8.737289723638424,10.76705319317373,15.074133856935884,18.78123229351071,180.24178382399205,193.44619452353436,188.96004456161435
19989,162.8690022514263,171.26734901507868,213.61041664647223,7.77714799576607,8.890227407207666,12.27594134457054,11.437288896689214,318.3905169134786,301.4927281331206,313.22593732050734
20118,30.754768415928513,19.787106657905717,30.15804557139287,25.731798306979098,19.163379077758748,25.81558253343511,45.86954810145885,36.37806734496425,27.834702564242434,16.695264981347457
20423,1.9690552949222526,6.059209694286919,7.947788183074655,5.088751157723477,1.9756060904905925,0.9929070205167351,5.778840705695603,7.1437292369265135,9.178468229069189,8.727070331158895
