,DKO_Sham_126_Acetyl_norm,DFC_Sham_127N_Acetyl_norm,DFC_TAC_127C_Acetyl_norm,DFC_Sham_128N_Acetyl_norm,DKO_TAC_128C_Acetyl_norm,DFC_TAC_129N_Acetyl_norm,DKO_TAC_129C_Acetyl_norm,DKO_TAC_130N_Acetyl_norm,DFC_TAC_130C_Acetyl_norm,DKO_Sham_131N_Acetyl_norm,DFC_Sham_131C_Acetyl_norm
7172,134.9889895276758,414.543905361768,255.0672476021706,339.79048897151637,140.1812264723543,278.86260723891434,181.70056859265628,103.13661635621659,247.4964572346309,183.93228415348713,536.5728466870415
7173,122.70860895710446,160.86626359455192,104.31631914240057,139.94722216688797,101.25397819810823,130.53143317566204,118.77188522018311,76.85574476281988,105.29849271437024,120.43437247794496,177.10556520236406
7174,56.166081679357355,47.37353551074518,46.24997866402008,49.533801173796796,42.05436794170629,45.175950556808075,39.75075228299354,37.66021805651692,45.08935457256367,62.12212358923875,89.53274297202006
7186,32.17650102986912,18.949414204298073,19.755479908383823,22.888032266513004,22.10550109756356,22.587975278404038,22.697559460682108,18.514016070949562,19.439721731883736,25.610824375802004,27.08254115770557
7190,10.090855352562507,11.410399950975183,7.662172113999334,11.500951536904543,7.224724748959798,6.0373390145043055,7.2055744319625745,11.01809736905291,7.46989307289977,11.323794248805017,10.33412754701923
7193,1.9039349721816052,32.4992641460811,18.0014887015647,21.521582578959986,0.0,26.647565305398317,12.129383627137,8.399041437064923,21.239695966317417,2.751576172606827,23.429961593672914
7196,6.663772402635618,27.405335596538606,14.955082921299903,13.892238490122319,1.9409708280787519,19.152937563255037,1.3210219791931388,1.9868700173701972,9.269867307333449,4.550683670080521,23.429961593672914
7201,6.282985408199297,51.75431406335172,17.262966088167172,30.972859584535005,2.3722976787629193,21.338870654713492,3.002322679984406,1.7159331968197156,18.17973976778016,2.963235878191967,35.81309718880803
7253,23.132809912006504,16.809964213490225,19.016957294986298,15.941913021451843,20.272361982155854,18.73656935535819,15.01161339992203,20.86213518238707,26.189625111010034,16.50945703564096,27.260715770585215
7272,9.043691117862625,7.640892824313738,18.740011314962228,8.881922969094598,15.851261762643139,20.61022629089401,17.773750265507683,40.188961714988075,13.679804181695962,7.8314091066502005,12.20496098225547
7273,14.089118794143879,10.595371383048384,105.88567969587031,12.070305573384966,100.49915620941093,155.51352564947297,120.93355754977188,343.5478884580104,119.78828530156136,19.261033208247788,11.046825998537798
7289,18.18257898433433,10.595371383048384,35.81834674978001,10.589985078535868,24.693462201668563,25.710736837630403,29.783040985445307,62.676717820678036,20.699703695987314,17.250266005188955,22.895437755033985
7322,13.327544805271236,3.260114271707195,93.51542592146174,6.832248437765076,52.83753920881047,65.16162453585682,36.50824378861038,249.80374854754388,65.6990595568293,16.08613762447068,18.173810513723474
7330,1.9991317207906856,2.2413285617986967,29.540904535901046,1.9358037240334378,10.028349278406886,18.528385251409766,20.175608409495208,69.17920151388958,23.219667624194464,5.926471756383934,5.968849531468004
7331,112.71295035315103,48.494199791644526,58.9894937451274,41.10736143388654,49.27909269066609,50.27646110354447,35.907779252613494,50.03299952832223,53.36923605095859,61.5929743252759,99.24325937396056
7333,30.653353052123848,46.55850694281838,39.141698510068885,131.06529919779337,52.83753920881047,36.74449434689689,109.16445264423301,37.47959350948326,36.17948211211696,83.92307326450822,289.17739670365887
7341,20.372104202343174,12.021671376920283,14.124244981227688,20.496745313295225,15.743430049972098,14.989255484286552,18.974679337501446,12.553406018838972,14.129797740304381,24.446695995083733,64.76647178174984
7343,104.05004622972473,85.06860677735962,85.9455691341371,100.4340520351466,96.0780559898982,78.79768334447861,90.67014493552907,80.28761115645933,76.58890367515305,98.6334228026755,102.80675163155338
7348,13.803528548316638,12.021671376920283,12.18562312105918,15.828042214155758,10.891002979775218,6.349615170426942,15.972356657517041,8.85060280464906,6.209911108796194,16.403627182848393,28.151588834983425
7355,11.423609833089632,12.327307089892832,15.508974881348049,21.74932419355216,12.83197380785397,11.241941613214914,22.337280739083983,10.837472822019256,10.259853136271973,21.271800411306625,202.49544753771303
7356,13.327544805271236,8.659678534222238,7.4775414606499515,11.500951536904543,10.891002979775218,10.929665457292277,8.046224782358209,6.592795966728381,9.719860865941868,14.710349538167268,149.6666748188992
7361,164.78557184231792,137.63794940863815,170.0448317347804,133.0011029218268,136.2992848161968,126.7841193045904,137.14610002168766,123.72781471805318,165.86762570306357,199.91259192516523,1788.338589472966
7363,230.28093488536516,187.76220633613627,224.9724511062214,198.36294630977935,187.51934833494164,145.10432045205175,169.57118496551925,148.1121285675965,192.5972430844037,225.94673571213752,381.82819540107266
7370,337.28208032197136,105.2405638335479,95.36173245495556,97.24566943085624,219.9766938489252,121.5795167058798,206.79998619732586,178.81830156331773,84.7787864418263,369.1345265404851,175.41290638000746
7372,15.136283028843762,12.123549947911131,15.324344227998669,15.828042214155758,15.527766624630015,15.093347536260763,19.575143873498327,12.6437182923558,7.01989951429135,23.28256761436546,34.29861297933107
7377,1.808738223572525,3.361992842698045,6.185126887204282,13.322884453641896,2.264465966091877,2.4982092473810917,11.889197812738248,5.9606100521105905,5.489921415022722,7.196429989894778,32.071430318335544
7382,358.7013487590144,235.95077041480823,235.2194523671121,259.28382821318456,279.8232943813534,198.91991132271943,354.9946336813562,244.83657350411838,174.77749816351024,467.7679493431606,1548.515560536968
7385,16.08825051493456,17.217478497453623,20.40168719510666,19.58577885492655,24.801293914339606,21.13068655076507,32.545177851030964,21.40400882348803,18.449735902945214,24.975845259046583,35.81309718880803
7504,26.17910586749707,16.606207071508525,20.77094850180542,18.447070781965703,28.144077007141902,19.77748987510031,29.662948078245932,25.2874365847116,13.499806758252594,42.86109038099096,203.38632060211125
7641,59.021984137629765,30.767328439236653,36.464554036502854,33.36414653775279,51.22006351874484,30.91533943634101,50.91939265253553,36.30553395376451,30.239567138485814,60.852165355727905,38.12936715624337
7652,17.040218001025366,14.262999938718979,18.0014887015647,15.258688177675335,16.60608375134043,17.487464731667643,18.374214801504564,15.985272412478402,15.119783569242907,25.29333481742429,43.02916901043352
7658,69.20803623880136,23.228314185913767,24.832822875491814,14.91707575578708,37.848931147535666,18.632477303383975,37.82926576780352,33.14460438067556,20.609704984265626,54.50237418817369,71.80436899049569
7674,36.841141711714066,19.662564201234023,16.9860201081431,23.11577388110517,36.12362374479899,19.465213719177672,35.667593438214745,23.752127934925536,22.22968179525594,44.76602773125722,24.40992196451094
7684,290.8260670007402,37.28755698265105,23.355777648696765,16.283525443340096,121.95766703094823,23.941171954068796,104.96120089225484,80.01667433590883,23.939657317967935,275.58093667185295,30.46785880241877
7691,15.136283028843762,3.361992842698045,4.985027640433302,5.124186328323806,6.254239334920422,1.6654728315873948,7.68594606076008,5.779985505076937,1.8899729461553634,9.418856898538754,6.325198757227287
7694,76.72857937891868,21.49637847906932,23.171146995347385,20.610616120591313,63.944205613927764,16.030176004028675,66.89174931005257,47.50425586985107,16.2897668216248,117.57696645254556,62.18293989499502
7697,12.280380570571355,1.8338142778352973,1.8463065334938153,5.807411172100314,8.5187053010123,1.5613807796131824,12.369569441535754,5.779985505076937,4.859930432970934,16.19196747726325,5.523412999268899
7700,9.519674860908026,2.2413285617986967,2.2155678401925782,10.362243463943697,2.911456242118128,7.286443638194852,7.565853153560703,5.418736411009628,4.31993816264083,13.334561451863854,12.294048288695294
7706,163.35762061318172,13.34609279980133,15.416659554673357,18.10545836007745,98.98951223201634,15.613807796131825,85.86642864755402,51.02643453700733,12.329823505870703,190.17624546824877,17.015675530005804
7707,26.559892861933392,4.380778552606543,8.216064074047479,5.010315521027723,18.115727728735017,8.223272105962762,22.577466553482733,13.366216480490417,5.939914973631142,29.632358781919674,13.719445191732428
7710,591.3622023596066,122.86555661496492,51.23500630445338,76.74892411756102,394.2327415253287,93.47466267284251,379.7337725644277,218.37507736368804,67.76902992642802,708.1075450350877,95.67976711636771
7712,19.420136716252372,5.603321404496741,13.570353021179542,9.223535390982851,19.194044855445437,6.24552311845273,15.491985028719535,12.101844651254837,8.099884054951557,21.06014070572148,10.690476772778515
7717,337.9484575622349,51.65243549236087,40.71105906353863,42.01832789225521,187.73501176028373,42.36546515350435,226.85550169962173,124.17937608563732,25.64963284067993,452.3167908354453,53.80873308965186
7728,39.31625717555015,17.828749923398725,9.046902014119697,16.511267057932265,18.762718004761265,11.866493925060187,28.221833191853417,13.366216480490417,9.5398634424985,34.712191715963044,14.164881723931533
7731,196.6764826263598,36.26877127274255,23.725038955395526,27.215122943764214,93.81359002380634,28.521222240934133,91.87107400752282,58.973914606488115,23.219667624194464,197.79599486931383,157.06092125340436
7735,111.09460562679666,20.88510705312422,2.4001984935419602,9.109664583686767,53.053202634152555,9.056008521756457,64.36979825886567,38.38271624465153,4.76993172124925,132.3931458435054,13.363095965973143
7755,550.332403709093,579.2815546539723,588.6948382045031,638.8152289310345,560.6170741767461,591.3469472654994,573.563724784221,715.4538308003046,652.2206638470437,614.2364656080778,458.44327893931865
8052,15.326676526061924,2.546964274771246,0.09231532667469078,8.654181354502429,8.087378450328133,1.6654728315873948,8.046224782358209,4.3349891288077025,0.7199896937734718,13.228731599071283,16.65932630424652
8055,18.84895622459789,14.670514222682378,8.123748747372789,11.842563958792798,13.047637233196054,8.431456209911184,11.649011998339494,8.579665984098577,8.459878901838293,20.6368212945512,15.857540546288131
8070,181.92098659195238,97.29403529626161,80.68359551367973,74.81312039352758,128.42756979121074,93.68284677679095,144.95213898964712,99.43381314202666,88.19873748725028,194.62109928553673,86.50377455306615
8081,22.942416414788344,24.552735608794816,21.32484046185357,22.546419844624747,25.340452477694814,20.402042186945586,24.49895306867275,21.40400882348803,22.49967793042099,23.07090790878032,22.360913916395063
8153,19.515333464861452,12.327307089892832,17.63222739486594,12.981272031753644,23.830808500300233,10.513297249395428,18.85458643030207,19.507451079634663,11.609833812097232,24.76418555346144,53.54147117033239
8177,10.566839095607909,5.7051999754875915,6.369757540553663,7.173860859653328,9.489190715051677,2.4982092473810917,5.76445954557006,2.8899927525384683,1.5299780992686274,13.017071893486143,93.71984637469166
8196,13.517938302489396,10.901007096020933,9.416163320818457,8.312568932614175,10.35184441642001,9.888744937550156,11.168640369541992,7.044357334312516,8.369880190116609,13.969540568619275,12.650397514454575
8201,10.186052101171587,5.501442833505892,7.385226133975261,5.807411172100314,2.0488025407497936,2.290025143432668,9.96771129754823,6.050922325627418,5.1299265681359865,11.112134543219877,6.770635289426393
8211,25.60792537584259,10.493492812057536,7.4775414606499515,10.476114271239782,20.488025407497936,5.516878754633244,14.531241771124526,10.566536001468775,6.389908532239561,28.04491099003112,17.461112062204908
8221,15.041086280234682,6.82586425638694,4.4311356803851565,6.832248437765076,6.038575909578339,1.0409205197421216,6.725202803165069,1.8062454703365427,2.2499677930420994,9.207197192953613,15.76845323984831
8237,83.20195828433616,54.30127833812297,39.78790579679172,56.593791226154046,62.2188982111911,57.87518089766196,55.12264440451369,71.34669607829343,48.41930690626597,96.19933618844638,69.13174979730105
8241,111.28499912401483,23.941464182849714,11.724046487685726,22.660290651920832,50.573073242718586,15.4056236921834,63.889426630068165,44.43363857027895,10.349851847993657,114.08458131039075,77.95139313484334
8243,12.565970816398593,5.603321404496741,1.9386218601685061,9.906760234759359,6.793397898275631,2.0818410394842433,3.3626014015825345,5.599360958043283,2.609962639928835,8.25472851782048,5.790674918588362
8500,114.71208207394172,102.08232813283155,64.34378269225947,132.09013646345812,83.89307245807049,255.65007964866507,57.28431673410247,51.11674681052416,67.04904023265455,108.79308867076223,85.34563956934848
8523,79.29889159136386,16.198692787545127,12.370253774408564,17.080621094412688,48.524270701968796,16.34245215995131,41.31196007658543,35.58303576562989,15.929771974738062,71.11766107660722,29.309723818701094
8761,39.50665067276831,23.635828469877165,31.20258041604548,21.4077117716639,35.15313833075962,19.465213719177672,36.86852251020851,25.016499764161114,27.539605786835295,42.96692023378353,286.593864816904
8795,4.950230927672174,4.380778552606543,8.216064074047479,10.93159750042412,13.37113237120918,5.412786702659033,9.96771129754823,3.341554120122604,6.929900802569666,18.202734680322084,91.93810024589523
8804,7.901330134553662,1.8338142778352973,2.4001984935419602,2.3912869532177763,7.871715024986049,6.9741674822722155,3.122415587183782,5.328424137492801,6.1199123970745095,11.7471136599753,13.363095965973143
8831,61.306706104247695,43.60402838408373,38.68012187669543,52.266700548902826,55.7489954509286,50.27646110354447,67.13193512445132,37.56990578300009,39.869429292705995,69.00106402075582,130.78016585365717
8833,1.9991317207906856,9.169071389176487,1.7539912068191246,4.440961484547299,6.793397898275631,6.557799274375366,3.6027872159812873,2.709368205504814,9.08986988389008,1.6932776446811244,32.78412876985411
8836,6.568575654026539,6.52022854341439,2.5848291468913414,5.807411172100314,2.911456242118128,6.557799274375366,8.64668931835509,4.605925949358183,4.31993816264083,9.313027045746184,6.681547982986571
8838,47.97916129897645,42.78899981615694,50.219537711031776,70.48602971627636,51.112231806073794,41.32454463376223,61.72775430047939,41.00177217663952,30.239567138485814,86.25133002594477,1003.568507044583
8905,32.74768152152361,1.9356928488261471,7.4775414606499515,2.2774161459216917,10.136180991077927,1.2491046236905459,13.450405606330138,11.740595557187527,0.8999871172168397,25.29333481742429,1.9599207416760611
9044,28.749418079942238,11.308521379984333,10.247001260890675,3.416124218882538,14.449449497919597,4.684142338839547,13.450405606330138,15.262774224343785,10.979842830045444,27.727421431653408,24.40992196451094
9046,1728.5825612436793,531.1948691462911,635.7756548085954,291.7370082925687,803.1305959739191,456.755924062843,558.912390105897,1003.8209201395337,510.7426890205565,1155.027013378112,783.166510912466
9049,98.14784781596174,88.93999247501192,80.77591084035443,137.55593521367018,106.21423698097614,78.79768334447861,113.84807602500868,86.06759666153626,96.83861381253195,138.53127730547448,353.6766065660892
9051,828.8780901392619,546.6804119369003,461.66894870012857,499.09574837873873,669.5271039744983,460.190961777992,713.3518687642949,556.955790778273,462.773375672899,961.675872326086,441.60577802219245
9052,265.12294487628856,171.35975640660942,126.28736689097698,158.39429294885366,204.77242236230833,163.00815339161625,240.54609312035063,180.08267339255332,128.33816291512133,318.6536867584291,120.00060177443882
9054,138.32087572899363,95.46022101842631,85.11473119406489,81.07601479481222,107.50821753302864,86.70867929451873,115.16909800420183,90.8541471579281,78.74887275647347,152.7124775796789,117.68433180700347
9057,586.6975616777617,256.12272747099655,158.8746772071428,136.7588395625976,336.6506069589924,168.31684804230105,300.59254672003874,306.3392317690776,177.11746466827407,563.5439661204367,201.24822524755555
9059,40.17302791303187,24.043342753840566,18.463065334938154,23.229644688401255,33.96698949137816,29.04168250080519,44.43437566376921,25.648685678778904,26.81961609306182,47.305944198278915,22.093651997075597
9060,337.3772770705804,205.1834419755716,160.9979297206607,186.2926407363944,272.8142330577357,232.02118385051892,311.76118708958074,228.6706765446063,205.73705499576954,375.80180726641703,169.35496954209964
