,TAC-MI_126_Proteins_norm,DKO_127N_Proteins_norm,Sham_127C_Proteins_norm,DKO_128N_Proteins_norm,DFC_128C_Proteins_norm,Sham_129N_Proteins_norm,DKO_129C_Proteins_norm,TAC-MI_130N_Proteins_norm,Sham_130C_Proteins_norm,DFC_131N_Proteins_norm,TAC-MI_131C_Proteins_norm
56,14774.146948248808,17321.964047407593,17687.587170536117,18452.593458925174,16478.990166131836,16875.83542769418,17513.322604547746,13893.858690937728,17004.1310166376,16516.71618566753,13021.34559320716
57,15213.651060200826,16713.489685959783,16627.56736382439,16225.989624140553,16829.636694142046,16480.90276845287,16743.989479187156,14596.866981445795,16107.597452516533,16695.35410490331,13456.351141740673
58,11242.370011404351,12719.428857776777,11910.055304121774,12796.475603011275,12173.902758878767,12159.339437353494,13551.825238288264,10369.79944369063,11778.297218187026,12184.000938600044,9287.09920053465
59,9729.613011042877,8204.958824962412,10629.376964881714,8038.1484226866605,8094.374382837644,9960.553925666098,8471.953693518079,9836.895238598503,10015.68133533589,8494.166774719217,10313.48093036201
60,12398.73916941534,12392.975844442073,15036.932053991883,12406.078787970411,12545.411751463147,14107.405951659623,12792.17671746015,11178.078621880772,14393.547971986074,13230.14303891126,11348.040206035254
61,13203.218782569658,9727.60804689762,10196.538296533963,13059.261459135654,12471.913026896407,12291.495891418681,10792.602348989216,16730.287360755658,8779.405226834248,10740.894890673508,12604.589933573607
62,934.2146022371525,967.3864356030781,1089.0885954280316,1171.5564421366885,959.4114984715519,1036.4470386793769,931.6984850224362,894.4703107558087,1135.6980899656844,1033.133680403971,987.4885239749814
63,285.23295472112665,201.6718696884305,203.15119386965102,190.92844235592187,204.34740405076002,212.3014235251096,201.30142278221282,307.1745649586965,196.93287165272463,227.44020793238437,321.81634688621136
64,12747.152757117707,13444.702626603506,12408.51896517755,13075.12132974669,12949.654736580222,12856.293331063987,12900.090882250614,12058.690006034614,12727.509214115875,12909.57248718434,11821.739508083443
65,10620.582616919084,9794.56594558485,11219.781681157632,10016.606281910932,10313.30262332048,10960.592925121791,10248.782157742029,10076.483805333903,11011.459286807905,10207.881099187523,9787.225937328685
66,4953.136710854432,4934.575418352665,4816.169766860995,4862.026334319843,5257.8648165713275,4699.592257843977,5034.017906983761,4819.01456713787,4761.285602339745,4845.4292750039485,4669.677856506615
67,277.4631681409096,274.1282978042826,296.6337757641408,379.53890362253867,247.90543678093056,245.87247267941427,282.8299813464375,230.19107540940638,228.60661229664478,272.5139686300955,268.76202505681425
68,8723.527882938715,6650.648715833374,6562.2790527064835,6661.267655639419,6631.033980656123,6652.623504771516,6444.807848878151,9659.292144952731,6826.969171983758,6835.468952278996,10613.856150944986
69,516.4863395165347,529.721230276603,638.8526974697644,437.97642687396774,481.4079168474761,510.42179664889943,490.55486631855894,428.58255895813187,581.1297888668719,541.7136901500652,469.21162444983713
70,7539.044365591414,8400.333991595486,7641.45783379941,8909.831311270087,8815.133253084174,7820.044918320505,8966.65910463627,6984.6142349276415,7652.375739571111,8425.479003361857,6800.526906372645
71,2819.819124415095,3539.367918819513,3124.5644598585836,3492.5875065593173,3267.899942523837,2936.6393455647544,3561.068615590103,2437.747219624315,2787.4003125970576,3308.944314749618,2637.059082960052
72,19929.604812290734,19574.94213780552,21995.8238981989,18817.73647999308,19407.50407407671,20030.095553164127,19560.924705700152,17684.464964885694,21034.475593661333,20117.479958463726,17702.39223296293
73,15634.5485779739,19789.47347148024,16581.761999786573,22777.580174554427,19724.8928656737,16207.606058436138,21065.497195567208,15710.51716565328,16720.178710163156,19595.071757730144,14304.0235769848
74,55.001910265220836,51.2604840281059,55.1646331320841,56.97353519502589,47.57340248084759,64.77793991746105,61.467592032663916,61.22607985116169,59.235451800734886,55.67935145011377,64.82200975396262
75,2102.74961028822,1864.001476302301,1981.74264892465,1689.930213108134,1798.885648303316,1860.2380300749724,1648.6556879114662,2364.9403928865777,1900.6467104993774,1930.4660854705369,2069.7169083596004
76,35.475209780727944,62.168856926820474,36.99664018439174,72.22341078255958,54.12020098738625,48.5834549380958,53.95708239523231,42.146324734753165,43.00960571648106,57.08790647191724,31.91237403272006
77,220.00764106088334,161.76318835166984,218.56646061314757,206.42231595285608,173.88296833366678,202.84478996051675,220.4729868567093,161.56091148322045,254.27901260803273,317.0905922612878,356.12214897138546
78,47.43659175290422,36.89335874687207,32.1518420650071,45.01763273439947,41.89951044184742,41.25456392553633,55.73588730936085,52.87275422805747,49.34435384526508,71.17345668995198,68.61160417034813
79,11718.985077680296,13109.292331457666,10718.45518484949,14186.288264556746,13287.469539517617,10474.758375740834,13438.574658755415,11409.693559612298,12244.40131734703,13217.963180781546,10683.764195310416
80,230.1288104219556,220.2959209789188,256.6641912792176,200.4443647225429,216.1316413625296,229.20515602181936,200.9061328012954,238.6393251873186,253.16765328719342,264.4769193880404,231.86334258148167
81,8914.807760459586,8215.335082109968,8618.565527240757,8033.634459512751,8051.078222047735,8363.683140365036,8394.476857258258,9181.254101339631,8428.326817381112,8272.857923940564,9151.770789402148
82,10137.220104402422,11974.821549991348,11772.198775815647,12011.53400676974,11627.725182139937,11292.047931560774,12551.049829100504,9724.789811770252,11181.941806624654,11500.520328314347,8997.594132356568
83,9356.663255192458,6831.834129102266,8041.373896744978,7001.400880743769,7018.866324183474,8020.407341970316,7036.952240292495,10131.539815122544,7977.00379718827,7222.490158563939,10626.720826726927
84,10573.65719533593,12198.310165477207,12036.240273322112,12161.592782551072,11927.743135032913,11238.972575679494,12191.138301475163,9569.01927373032,11674.051713892299,12203.969277438553,9462.916436221167
85,6657.582524872578,5940.096816121981,6252.872627354875,5951.7214443026505,6328.833761594299,6803.575018046331,5998.0313479462,6795.335470240484,6313.743437620169,6167.068166344372,6788.858944616932
86,18444.962171265575,15699.809180006063,15791.179033941535,16466.815659418884,16504.04258175019,16975.36649596152,16023.672311460326,22021.644522218146,15303.640119821383,15646.892031615007,21734.1217873217
87,467.00506708462603,353.0588008925426,460.6962575342113,445.0523691465834,345.40908920497964,390.6771741372424,393.5111760033243,371.2483694540983,508.4468892839815,418.009416764619,536.0281575808448
88,12238.231736113486,10169.086748440717,11304.895975391366,9765.532330237778,10337.831295058311,11521.134879663034,10037.499662941651,12004.773086103669,11155.935998517016,9771.643323317214,12703.917197750447
89,6.031808003063253,2.305834921679504,5.945888601062958,6.587946253814557,10.213005670200308,8.747386047248392,6.522284685137971,10.916277802920302,10.780185412141245,19.222633238729752,8.775902858998016
