,TAC-MI_126_Acetyl_norm,DKO_127N_Acetyl_norm,Sham_127C_Acetyl_norm,DKO_128N_Acetyl_norm,DFC_128C_Acetyl_norm,Sham_129N_Acetyl_norm,DKO_129C_Acetyl_norm,TAC-MI_130N_Acetyl_norm,Sham_130C_Acetyl_norm,DFC_131N_Acetyl_norm,TAC-MI_131C_Acetyl_norm
34970,7.156382376515722,19.776968751328056,8.037960516251776,13.66388852643019,8.205320794861786,2.0095346324759817,12.451634398899763,5.3157526692481465,7.779515245875126,7.788480708795676,5.684391624578261
34971,10.018935327122012,20.04302662690646,13.102976731972072,17.20185966273801,12.657143779308074,9.811257323265089,19.36920906495519,11.390898576960314,9.335418295050152,14.831255817813041,11.06960474259977
34976,3.884893290108535,35.385697451927776,3.193162396867143,41.84565861219246,9.165517909154122,6.619643495214999,36.761968225323116,2.18325556058406,2.4449905058464685,12.179858129712386,2.4931542213062547
34977,4.804999595660557,20.663828336589404,2.752726204195813,15.005877578133157,4.626404277953986,2.127742552033393,19.665676550643276,1.3289381673120366,2.111582709594677,5.965644798226475,3.0915112344197557
34980,180.54530395609666,477.3078287876574,143.25187166635013,439.6844129397715,250.43686553679214,143.74083018181142,402.3063780787376,157.47917282647637,137.5862839199058,213.52037006985591,126.95141294891448
34981,152.12424251793422,382.85728295732383,146.44503406321726,388.9328269844594,213.51292195991414,126.36426600687204,365.8408773391026,131.56487856389163,143.3653523882702,186.42639994457735,246.32363706505797
34984,11.961381972176278,34.9422676592971,14.864721502657392,123.70699076607335,12.30798119229268,12.175415714413303,39.72664308220401,5.980221752904165,12.447224393400202,16.902660261641678,41.08718156712708
34985,337.9857162394426,859.5443100352983,295.20235813795904,856.6770110052929,458.5377673979676,298.474996882462,781.389469778575,297.0176803942402,335.51937896138577,415.4408752542715,285.7154737616968
34990,3.271489086407188,10.731000981662309,3.193162396867143,9.881919380721834,4.800985571461683,2.127742552033393,12.056344417982311,2.088331405776058,2.5561264379303985,2.402829154841219,6.382474806544012
34991,58.88680355532938,149.34715415801097,56.926377902769424,115.53305745115529,69.65793610957132,50.8294054096866,123.42929654147466,55.72047887229754,62.12498603491708,74.32199144457151,55.0488452064421
34996,66.55435610159621,147.48474902896214,58.578013625286914,227.28414575660221,106.58187968644937,52.95714796171999,145.0714229967052,63.50425956655376,73.9053948358137,75.81340264412812,55.34802371299885
35215,12.268084074026953,10.553629064610039,12.11199529846158,10.491914404223182,11.260493431246495,8.39276228857616,13.538681846422758,8.543173932720237,12.447224393400202,16.736947906135388,7.778641170475514
35323,2.964786984556514,16.761646161439472,6.166106697398622,25.253793972955798,8.903645968892576,1.6549108738037497,19.962144036331367,4.651283585592129,1.1113593208393038,8.037049242055112,5.285486949169259
35341,22.287019401148967,18.978795124592843,14.424285309986061,23.30180989775149,21.56078974820065,14.894197864233748,24.31033382642335,22.876721308728634,13.336311850071645,18.974064705470315,21.24167396552929
35391,2.5558508487556155,22.880977299742774,8.037960516251776,22.325817860149332,6.023054626015567,7.919930610346517,24.804446302570167,5.695449288480157,5.89020440044831,9.279891908352294,24.333185199949042
35393,1.4312764753031444,29.70979610625515,2.2021809633566507,21.349825822547174,1.658522288323127,10.638712760166964,21.740948950459906,9.017794706760249,1.7781749133428861,1.4914111995566188,2.792332727863005
35395,20.14010468819425,271.29034713144625,11.891777202125915,141.8848424664135,16.236060296215875,4.846524701853839,141.11852318753066,11.390898576960314,1.6670389812589557,8.368473953067694,11.16933091145202
35572,9.09882902156999,19.599596834275786,5.615561456559459,16.59186463923666,9.776552436431064,5.437564299640892,15.317486760551297,8.353325623104231,4.778845079609006,12.511282840724968,7.579188832771014
35576,1.5335105092533692,53.034203198628596,3.5234895413706413,66.24545955224637,2.2695568156000685,2.6005742302630357,51.585342509727596,1.2340140125040342,2.2227186416786076,4.2256650654104195,15.357830003246528
35589,56.73988884237466,166.10880031945044,55.274742180251934,144.6908195745197,82.57695182914095,48.465247018538385,148.4313878345035,63.31441125693775,57.679548751559864,86.00471250776502,56.94364241463486
35648,5.8273399351628035,10.908372898714578,2.6426171560279808,11.34590743712507,7.070542387061751,8.274554369018748,10.079894513395047,6.264994217328173,6.668155925035823,5.799932442720184,5.48493928687376
35651,2.0446806790044922,2.305834921679504,2.422399059692316,6.465947249114286,4.189951044184742,1.3002871151315178,1.482337428440448,5.79037344328816,5.89020440044831,6.959918931264221,41.486086242536075
35655,12.165850040076728,37.86890429065955,16.07592103250355,48.9216008848081,21.2989178079391,11.82079195574107,37.45372569192865,13.858926601968383,20.33787557135926,19.554057949742337,18.848245913075285
35657,8.076488682067744,45.40721076538101,2.422399059692316,40.869666574590305,1.9203942285846736,3.4280296671649104,37.35490319669929,1.9934072509680552,1.444767117091095,5.385651553954457,3.191237403272006
35659,2.5558508487556155,11.085744815766848,3.193162396867143,19.51984075204313,5.062857511723229,1.8913267129185714,14.823374284404482,5.125904359632142,5.112252875860797,5.468507731707602,5.883843962282762
35660,13.597126515379873,58.79879050282736,14.644503406321729,59.77951230313209,15.537735122185085,12.766455312200357,58.107627194865564,12.435064279848344,17.67061320134493,11.434152529934078,14.958925327837528
35671,20.54904082399515,55.783467912938775,17.507338658685374,49.89759292241025,29.94069183657013,16.430900818480087,44.96423532936026,17.940665258712496,22.560594213037866,28.4196689693289,20.344138445859038
35675,30.261274049266486,54.00974874241608,27.527262041958135,33.18372927847332,27.58384437421622,19.031475048743125,32.90789091137795,26.104142572200722,30.0067016626612,34.21960141204909,32.610457214685816
35677,2.146914712954717,14.189753364181565,2.532508107860148,16.59186463923666,4.888276218215532,0.8274554369018748,13.439859351193396,3.4172695730880944,2.667262370014329,2.3199729770880735,2.692606559010755
35679,42.12042198749254,96.4016369179085,37.437076377063065,88.81527542179624,51.065028351001544,38.89040553438812,86.17321584000472,33.79299911164894,40.78688707480245,55.430782916854334,45.77431150318284
35684,1.5335105092533692,31.128771442673308,5.835779552895124,33.54972629257413,0.6110345272769415,0.11820791955741071,34.39022833981839,1.9934072509680552,0.6668155925035822,1.4914111995566188,1.9945233770450037
36089,35.475209780727944,214.4426477161939,22.902682018909168,148.10679170612727,37.44768745740113,22.577712635465446,155.15131751010023,38.63413100685707,23.783089465961098,40.185246210275565,30.416481499936307
36099,11.143509700574484,55.69478195441264,8.918832901594435,50.385588941211324,13.355468953338866,6.146811816985356,49.4112476146816,6.3599183721361765,9.224282362966223,16.239810839616517,11.06960474259977
36105,21.06021099374627,86.29143764592914,10.790686720447589,93.8172346145073,10.213005670200308,8.983801886363214,80.14504363101355,20.88331405776058,18.670836590100304,29.828223991132376,30.416481499936307
36112,7.76978658021707,21.90543175595529,2.422399059692316,25.619790987056607,7.419704974077147,1.3002871151315178,21.148013979083725,6.9294633009841915,5.667932536280449,7.705624531042531,7.479462663918764
36130,6.6452122067646,24.566010511739332,23.012791067077,49.04359988950837,16.32335094296972,17.37656417493937,41.307803005873815,8.543173932720237,13.558583714239505,22.78544888211501,13.163854288497024
36139,5.31616976541168,16.406902327334933,1.871853818853153,14.273883549931538,5.150148158477079,2.2459504715908034,6.621107180367335,2.752800489432076,1.1113593208393038,5.551363909460748,1.3961663639315025
36140,6.747446240714824,9.578083520822556,3.083053348699311,13.297891512329382,5.237438805230927,1.536702954246339,10.870474475229953,2.278179715392063,2.111582709594677,7.539912175536239,2.293701883601754
36143,15.028402990683018,35.208325534875506,19.15897438120286,39.52767752288734,21.38620845469295,18.32222753139866,36.46550073963502,14.333547376008395,18.448564725932446,16.48837937287595,12.565497275383523
36147,2.0446806790044922,12.149976318080464,1.9819628670209857,18.665847719141244,4.451822984446288,0.47283167822964284,14.724551789175118,2.278179715392063,2.111582709594677,5.965644798226475,4.687129936055759
36342,21.673615197447617,120.87896147112171,16.95679341784621,113.33707536655044,28.544041488508558,14.421366186004105,118.9822842561533,22.686872999112627,20.56014743552712,34.21960141204909,31.61319552616331
36649,1.635744543203594,6.0306451797771645,2.6426171560279808,9.881919380721834,5.412020098738625,2.2459504715908034,8.498734589725235,2.18325556058406,6.334748128784032,5.551363909460748,1.595618701636003
36667,50.60584680536118,151.12087332853366,32.59227825767843,165.79664738766635,64.9442411848635,24.587247267941425,142.30439313028302,61.890548934817716,45.78800401857932,73.90771055580578,67.61434248182562
36673,7.156382376515722,12.593406110711138,4.844798119384632,13.175892507629113,6.634089153292508,2.9551979889352675,14.625729293945755,7.024387455792195,1.5559030491750252,8.285617775314549,5.684391624578261
36828,42.12042198749254,63.41046034618637,13.323194828307736,76.37137694236876,33.34502705997024,5.673980138755714,77.57565875505011,34.172695730880946,7.4461074496233355,17.316941150407406,61.03241533757711
36878,2.351382780855166,30.5966556915165,5.395343360223794,25.497791982356336,4.713694924707835,0.9456633564592857,25.00209129302889,6.075145907712169,3.222942030433981,2.071404443828637,8.277272014736766
36917,2.5558508487556155,19.244853000171247,1.7617447706853206,21.227826817846903,4.626404277953986,2.0095346324759817,22.23506142660672,7.688856539448213,4.667709147525076,2.56854151034751,1.7950710393405034
36984,2.4536168148053905,36.00649916161072,3.193162396867143,25.131794968255534,0.6983251740307903,1.536702954246339,30.338506035414504,1.3289381673120366,4.445437283357215,2.56854151034751,2.293701883601754
36986,3.680425222208086,129.5701854066829,1.871853818853153,85.64330129958924,3.7534978104154977,0.11820791955741071,109.98943719028125,5.505600978864152,2.000446777510747,2.9828223991132377,13.463032795053776
36987,20.957976959796046,233.1553849652083,8.148069564419608,268.397810340593,37.36039681064728,8.629178127690981,245.7715456354263,20.693465748144572,15.559030491750253,33.88817670103651,27.4246964343688
36988,24.331700080153457,57.46850112493534,26.536280608447644,56.36354017152454,37.79685004441652,24.705455187498835,52.07945498587441,18.225437723136505,24.449905058464683,36.29100585587772,49.36445358186384
36990,11.245743734524707,106.06840639725719,8.368287660755271,82.47132717738222,14.053794127369656,10.04767316237991,77.0815462789033,9.492415480800263,8.001787110042988,21.211181504805246,10.570973898338519
36992,84.24084397498508,129.3041275311045,79.93916896984642,86.00929831369004,83.62443959018714,71.27937549311865,100.79894513395047,63.978880340593776,89.01988159922823,91.55607641722577,80.57874443261815
37064,8.792126919719315,17.29376191259628,6.826760986405618,6.587946253814557,9.078227262400274,8.865593966805802,10.672829484771228,7.024387455792195,9.335418295050152,9.279891908352294,8.277272014736766
37445,2.862552950606289,42.569260092544695,2.092071915188818,37.45369444298276,0.26187194026154637,0.5910395977870535,34.98316331119457,1.3289381673120366,1.2224952529232342,2.56854151034751,2.5928803901585047
37461,12.574786175877628,27.758705018680185,8.69861480525877,52.58157102581618,24.35409044432381,7.565306851674285,31.623198473396226,19.269603426024535,10.557913547973385,23.531154481893317,104.5130249571582
37471,9.507765157370889,52.05865765484112,8.368287660755271,45.26163074380001,9.601971142923366,5.201148460526071,48.12655517669988,7.59393238464021,5.112252875860797,9.942741330377459,16.85372253603028
37844,37.622124493682655,115.29174608397521,42.832419737286855,88.69327641709597,39.97911621326274,24.941871026613658,94.37548294404186,40.817386567441126,39.675527753963145,45.32232923097058,91.04999216210442
37956,4.293829425909434,31.74957315235625,11.78166815395808,47.21361481900433,4.539113631200137,14.421366186004105,30.832618511561318,6.6446908365601836,10.113369819637663,18.476927638951445,92.84506320144492
37970,7.156382376515722,10.819686940188442,9.799705286937096,14.761879568732617,8.816355322138728,7.092475173444642,13.736326836881485,8.353325623104231,3.445213894601842,13.091276084996988,80.57874443261815
38214,10.63233953082336,7.715678391773725,13.323194828307736,7.319940282016174,8.990936615646426,10.638712760166964,5.8305272185324295,4.936056050016137,14.003127442575227,12.09700195195924,11.667961755713272
38508,9.09882902156999,49.84150869168775,9.689596238769264,38.551685485285184,6.284926566277113,4.0190692649519635,42.09838296770873,8.163477313488226,2.000446777510747,10.191309863636896,14.759472990133029
38517,3.98712732405876,9.489397562296421,5.725670504727292,17.323858667438277,7.856158207846391,8.156346449461338,5.039947256697523,5.0309802048241385,8.335194906294777,9.859885152624313,19.147424419632035
38522,5.418403799361904,9.400711603770286,1.871853818853153,10.735912413623723,7.1578330338156,2.127742552033393,10.574006989541862,4.7462077404001315,2.5561264379303985,6.794206575757929,1.3961663639315025
38526,81.58275909227923,208.50068849494286,62.76215745566454,183.8525000833062,93.66286396687974,66.43285079126481,168.39353187083492,68.8200122358019,86.13034736504605,91.30750788396632,65.61981910478062
38528,1.840212611104043,11.972604401028194,2.6426171560279808,23.545807907152028,8.990936615646426,10.28408900149473,18.578629103120285,5.505600978864152,5.001116943776867,7.539912175536239,6.980831819657513
38562,1.9424466450542675,22.26017559005983,2.532508107860148,21.105827813146636,1.0474877610461855,0.7092475173444642,16.206889217615565,0.9492415480800263,10.780185412141245,1.325698844050328,1.2964401950792523
38566,1.635744543203594,11.617860566923655,8.25817861258744,14.273883549931538,1.222069054553883,2.127742552033393,11.661054437064859,3.796966192320105,1.1113593208393038,4.639945954176147,5.58466545572601
38573,10.63233953082336,67.13527060428403,9.689596238769264,57.94952723262804,17.807291937785152,9.693049403707677,57.11940224257193,9.112718861568252,9.891097955469805,21.045469149298953,51.95733397202235
38676,6.951914308615273,44.697723097171924,7.927851468083943,23.17981089305122,5.848473332507869,1.6549108738037497,38.73841812991038,1.9934072509680552,0.6668155925035822,5.717076264967039,9.274533703259268
38725,4.907233629610781,70.41665106975101,7.1570881309091146,81.25133713037953,3.1424632831385564,2.127742552033393,74.70980639339858,5.505600978864152,2.5561264379303985,6.214213331485912,2.8920588967152554
38888,15.437339126483916,36.44992895424139,15.745593888000053,26.229786010557955,10.911330844231099,13.35749490998741,29.152636092662146,13.479229982736372,16.448117948421697,9.279891908352294,18.150162731109532
38891,2.351382780855166,23.23572113384731,2.532508107860148,21.959820846048522,3.9280791039231957,1.6549108738037497,25.496203769175708,2.3731038702000657,2.4449905058464685,5.799932442720184,2.4931542213062547
38893,9.712233225271339,5.764587304198761,1.7617447706853206,40.869666574590305,4.975566864969381,0.9456633564592857,14.724551789175118,1.3289381673120366,4.778845079609006,2.4856853325943646,3.0915112344197557
38963,15.130637024633243,135.24608675235552,24.994753934097986,97.59920376021566,17.894582584539002,14.894197864233748,108.30945477138206,18.130513568328503,18.11515692968065,16.736947906135388,29.917850655675057
39044,38.33776273133423,77.15678391773726,39.08871209958055,69.90542969325446,48.70818088864762,33.57104915430464,58.0088046996362,26.67368750104874,42.34279012397747,41.17952034331331,44.57759747695584
39047,14.41499878698167,28.113448852784725,18.057883899524533,21.959820846048522,18.069163878046698,14.775989944676338,20.653901502936908,13.194457518312365,15.559030491750253,26.09969599224083,13.861937470462776
39051,10.836807598723809,20.663828336589404,12.772649587468573,30.98774719386847,12.22069054553883,8.156346449461338,14.428084303487028,10.15688456445628,10.224505751721594,10.439878396896331,15.357830003246528
39058,32.305954728270976,75.20569283016229,33.69336873935676,98.5751957978178,51.85064417178618,38.18115801704365,73.91922643156367,33.03360587318491,35.45236233477379,42.090938298597905,38.19512267041182
39123,3.0670210185067384,14.278439322707701,10.350250527776259,12.809895493528304,12.30798119229268,8.156346449461338,20.258611522019457,5.41067682405615,8.335194906294777,8.617042486327131,6.581927144248512
39127,12.574786175877628,24.299952636160928,7.927851468083943,30.49975117506739,12.744434426061924,7.565306851674285,25.496203769175708,13.858926601968383,10.557913547973385,12.09700195195924,9.473986040963768
39352,2.65808488270584,13.036835903341812,3.083053348699311,18.665847719141244,9.863843083184914,1.7731187933611605,11.957521922752948,4.271586966360118,7.779515245875126,8.368473953067694,2.4931542213062547
40675,23.922763944352557,74.23014728637482,31.931623968671435,92.23124755340379,33.694189646985635,25.296494785285887,81.03444608807783,32.653909253952904,34.56327487810235,36.125293500371434,60.13487981790686
40676,8.587658851818867,25.27549817994841,8.25817861258744,26.961780038759574,10.562168257215703,7.447098932116874,20.35743401724882,7.499008229832207,8.668602702546568,7.374199820029949,8.077819677032265
40678,4.498297493809884,106.77789406546628,5.395343360223794,93.57323660510676,6.372217213030962,0.3546237586722321,94.07901545835378,3.9868145019361103,4.445437283357215,6.877062753511076,4.786856104908009
40682,2.862552950606289,5.764587304198761,6.166106697398622,6.099950235013479,2.3568474623539175,1.8913267129185714,10.079894513395047,3.5121937278960975,2.333854573762538,7.0427751090173665,23.335923511426543
40684,29.23893370976424,59.50827817103643,21.69148248906301,55.75354514802319,24.35409044432381,20.804593842104286,57.21822473780129,25.2498251789287,25.450128447220056,24.27686008167163,21.54085247208604
40685,6.031808003063253,30.8627135670949,6.716651938237784,25.741789991756878,10.387586963708006,4.846524701853839,25.990316245322525,6.549766681752182,9.891097955469805,7.539912175536239,10.96987857374752
40686,7.76978658021707,27.13790330899724,6.49643384190212,18.787846723841515,12.22069054553883,5.08294054096866,20.35743401724882,7.783780694256214,6.668155925035823,9.528460441611731,7.978093508180015
40688,21.469147129547167,32.72511869614373,16.406248177007047,21.105827813146636,13.093597013077318,6.856059334329821,19.76449904587264,15.947258007744441,13.891991510491298,14.831255817813041,26.4274347458463
40693,2.0446806790044922,52.32471553041952,8.588505757090937,48.55560387070728,2.7060100493693127,1.182079195574107,39.62782058697465,2.3731038702000657,1.0002233887553735,3.645671821138402,4.188499091794508
40813,0.20446806790044925,7.094876682090782,7.927851468083943,9.393923361920757,7.681576914338694,5.555772219198303,8.894024570642689,2.088331405776058,2.667262370014329,7.705624531042531,5.983570131135011
40960,1.840212611104043,9.666769479348691,2.752726204195813,6.343948244414017,4.713694924707835,3.546237586722321,7.905799618349056,7.404084075024205,2.2227186416786076,4.391377420916711,3.3906897409765064
